ron (PM0.l=3e-07) X,ron (PM0.l=3e-07) Y
0.024,8373.444333831621
0.048,10222.44159522672
0.07200000000000001,12999.87540864127
0.096,17492.65571802354
0.12,25374.40216438903
0.144,40104.70328646496
0.168,67673.44285687803
0.192,114643.2479373228
0.216,181809.9960982357
0.24,260197.962653665
0.264,336616.4238624455
0.288,401959.7331129643
0.312,453478.4580257265
0.336,492411.5267834394
0.36,521343.4591228362
0.3840000000000001,542810.1030193428
0.4080000000000001,558847.1439240465
0.4320000000000001,570961.398407419
0.4560000000000001,580231.3547595211
0.4800000000000001,587420.5792482841
0.5040000000000001,593070.1056024536
0.5280000000000001,597565.9477219736
0.5520000000000002,601186.2951831548
0.5760000000000002,604133.9512105011
0.6000000000000002,606558.5497936569
0.6240000000000002,608571.8310801514
0.6480000000000002,610258.2159922931
0.6720000000000003,611682.2032787879
0.6960000000000003,612893.5896330916
0.7200000000000003,613931.192188528
0.7440000000000003,614825.5242347937
0.7680000000000003,615600.7294171187
0.7920000000000004,616275.9816292586
0.8160000000000004,616866.4926305875
0.8400000000000004,617384.2259716742
0.8640000000000004,617838.3867908544
0.8880000000000005,618235.737901191
0.9120000000000005,618580.7799324546
0.9360000000000005,618875.8251287905
0.9600000000000005,619120.9889913072
0.9840000000000005,619314.1206182239
1.008,619450.690276255
1.032,619523.6512029414
1.056,619523.2916147006
1.080000000000001,619437.0919997953
1.104000000000001,619249.6021806202
1.128000000000001,618942.3519476051
1.152000000000001,618493.8085636577
1.176000000000001,617879.3937780279
1.2,617071.572183918
